question,gold_sql,predicted_sql,exact_match,execution_match,duration_sec
Show me the description for FDA approved biomarkers with test approval status 'class II',"SELECT biomarker.biomarker_description
FROM biomarker
         JOIN biomarker_fda ON biomarker.id = biomarker_fda.id
         JOIN biomarker_fda_test on biomarker_fda.test_submission = biomarker_fda_test.test_submission
WHERE biomarker_fda_test.test_approval_status = 'class II'",SELECT biomarker.biomarker_description,False,False,148.88
List the descriptions of biomarkers for fda tests with approval status 'class II',"SELECT biomarker.biomarker_description
FROM biomarker
         JOIN biomarker_fda ON biomarker.id = biomarker_fda.id
         JOIN biomarker_fda_test on biomarker_fda.test_submission = biomarker_fda_test.test_submission
WHERE biomarker_fda_test.test_approval_status = 'class II'",SELECT biomarker.biomarker_description,False,False,203.93
Return all information from healthy expressions which have an expression score above the average.,SELECT * FROM healthy_expression WHERE expression_score > (SELECT AVG(expression_score) FROM healthy_expression),SELECT *,False,False,191.9
Return all expressions which have an expression score higher than the average expression score.,SELECT * FROM healthy_expression WHERE expression_score > (SELECT AVG(expression_score) FROM healthy_expression),SELECT *,False,False,192.63
What are the symbols for biomarkers with type genomic for anatomical entity breast?,"SELECT gene_symbol
FROM biomarker
         JOIN biomarker_edrn ON biomarker.id = biomarker_edrn.id
         JOIN anatomical_entity ON biomarker_edrn.uberon_anatomical_id = anatomical_entity.id
WHERE anatomical_entity.name = 'breast'
  and biomarker_edrn.biomarker_type = 'Genomic'",SELECT biomarker.gene_symbol FROM biomarker WHERE biomarker.biomarker_type = 'genomic' AND biomarker.uberon_anatomical_id = 'breast',False,False,192.22
What are the symbols for biomarkers on the EDRN platform with biomarker type Genomic for anatomical entity 'breast'?,"SELECT gene_symbol
FROM biomarker
         JOIN biomarker_edrn ON biomarker.id = biomarker_edrn.id
         JOIN anatomical_entity ON biomarker_edrn.uberon_anatomical_id = anatomical_entity.id
WHERE anatomical_entity.name = 'breast'
  and biomarker_edrn.biomarker_type = 'Genomic'",SELECT,False,False,203.9
What disease can occur in the liver?,"SELECT disease.name
FROM anatomical_entity
         JOIN cancer_tissue ON anatomical_entity.id = cancer_tissue.uberon_anatomical_id
         JOIN disease ON cancer_tissue.doid = disease.id
WHERE anatomical_entity.name = 'liver'",SELECT d.name,False,False,219.95
List the name of diseases that can occur in the anatomical entity 'liver',"SELECT disease.name
FROM anatomical_entity
         JOIN cancer_tissue ON anatomical_entity.id = cancer_tissue.uberon_anatomical_id
         JOIN disease ON cancer_tissue.doid = disease.id
WHERE anatomical_entity.name = 'liver'",SELECT name,False,False,183.99
Show distinct manufacturer of tests for gene BRAF ,"SELECT DISTINCT biomarker_fda_test.test_manufacturer
FROM biomarker
         JOIN biomarker_fda on biomarker.id = biomarker_fda.id
         JOIN biomarker_fda_test
              ON biomarker_fda.test_trade_name = biomarker_fda_test.test_trade_name AND biomarker_fda.test_submission = biomarker_fda_test.test_submission
WHERE biomarker.gene_symbol = 'BRAF'",SELECT biomarker_fda_test.manufacturer,False,False,189.43
Show all FDA test manufacturer for biomarkers of gene BRAF ,"SELECT biomarker_fda_test.test_manufacturer
FROM biomarker
         JOIN biomarker_fda on biomarker.id = biomarker_fda.id
         JOIN biomarker_fda_test
              ON biomarker_fda.test_trade_name = biomarker_fda_test.test_trade_name AND biomarker_fda.test_submission = biomarker_fda_test.test_submission
WHERE biomarker.gene_symbol = 'BRAF'",SELECT biomarker_fda_test.manufacturer,False,False,210.95
